"region_id","typhoon_no","mean","typhoon_name","year","order_key","ty_label"
42,"2014275N06166",-0.156764003580364,"VONGFONG",2014,249,"2014-VONGFONG"
42,"2015188N08194",-0.162477764936476,"HALOLA",2015,289,"2015-HALOLA"
42,"2015226N12151",-0.203559220392208,"GONI",2015,295,"2015-GONI"
42,"2017182N15132",-0.161663876488139,"NANMADOL",2017,392,"2017-NANMADOL"
42,"2017252N14147",-0.146669888700697,"TALIM",2017,402,"2017-TALIM"
42,"2018179N19134",-0.161335462398283,"PRAPIROON",2018,444,"2018-PRAPIROON"
42,"2018263N12146",2.55915210207473,"TRAMI",2018,457,"2018-TRAMI"
42,"2019260N20129",-0.290805493906976,"TAPAH",2019,508,"2019-TAPAH"
43,"2013243N26122",-0.4829017490958,"TORAJI",2013,192,"2013-TORAJI"
43,"2014275N06166",-0.657028263744802,"VONGFONG",2014,249,"2014-VONGFONG"
43,"2015188N08194",-0.531202737625893,"HALOLA",2015,289,"2015-HALOLA"
43,"2015226N12151",-1.31352379275286,"GONI",2015,295,"2015-GONI"
43,"2016256N12146",-0.591274673317801,"MALAKAS",2016,351,"2016-MALAKAS"
43,"2017182N15132",-0.758256856721019,"NANMADOL",2017,392,"2017-NANMADOL"
43,"2017252N14147",-0.620664729766711,"TALIM",2017,402,"2017-TALIM"
43,"2018204N15137",-0.514369438921612,"JONGDARI",2018,447,"2018-JONGDARI"
43,"2018226N23128",-0.740294774742586,"RUMBIA",2018,450,"2018-RUMBIA"
43,"2018263N12146",-0.803319425525125,"TRAMI",2018,457,"2018-TRAMI"
43,"2019213N17155",-0.705972689257628,"FRANCISCO",2019,501,"2019-FRANCISCO"
43,"2019216N16147",1.76799643973049,"KROSA",2019,502,"2019-KROSA"
43,"2019260N20129",-0.71286822006706,"TAPAH",2019,508,"2019-TAPAH"
44,"2011192N18158",0.245955063202898,"MA-ON",2011,81,"2011-MA-ON"
44,"2014209N12152",0.247467078704977,"HALONG",2014,241,"2014-HALONG"
44,"2014275N06166",0.370078700912197,"VONGFONG",2014,249,"2014-VONGFONG"
44,"2015226N12151",0.352383871641442,"GONI",2015,295,"2015-GONI"
44,"2016256N12146",0.313740284914299,"MALAKAS",2016,351,"2016-MALAKAS"
44,"2017182N15132",0.276627103080224,"NANMADOL",2017,392,"2017-NANMADOL"
44,"2017252N14147",0.318272899417089,"TALIM",2017,402,"2017-TALIM"
44,"2018226N23128",0.261776668549607,"RUMBIA",2018,450,"2018-RUMBIA"
44,"2018263N12146",0.41883727192091,"TRAMI",2018,457,"2018-TRAMI"
44,"2019216N16147",0.359036664693268,"KROSA",2019,502,"2019-KROSA"
44,"2019260N20129",0.358238095401995,"TAPAH",2019,508,"2019-TAPAH"
45,"2011192N18158",0.084201707752884,"MA-ON",2011,81,"2011-MA-ON"
45,"2013243N26122",0.121713104919697,"TORAJI",2013,192,"2013-TORAJI"
45,"2014184N08147",0.109089626653172,"NEOGURI",2014,236,"2014-NEOGURI"
45,"2014209N12152",0.098753175519795,"HALONG",2014,241,"2014-HALONG"
45,"2014275N06166",1.45548547712275,"VONGFONG",2014,249,"2014-VONGFONG"
45,"2015226N12151",0.112844390207423,"GONI",2015,295,"2015-GONI"
45,"2016256N12146",0.156318768018502,"MALAKAS",2016,351,"2016-MALAKAS"
45,"2017182N15132",0.078557582288259,"NANMADOL",2017,392,"2017-NANMADOL"
45,"2017200N26162",0.0833096374065593,"NORU",2017,397,"2017-NORU"
45,"2017252N14147",0.154151148747218,"TALIM",2017,402,"2017-TALIM"
45,"2018204N15137",0.0979803951820162,"JONGDARI",2018,447,"2018-JONGDARI"
45,"2018263N12146",0.182813684396727,"TRAMI",2018,457,"2018-TRAMI"
45,"2019213N17155",0.124554789289302,"FRANCISCO",2019,501,"2019-FRANCISCO"
45,"2019216N16147",2.06929855990321,"KROSA",2019,502,"2019-KROSA"
46,"2012215N23146",-0.85684188329732,"HAIKUI",2012,135,"2012-HAIKUI"
46,"2013243N26122",-1.18307180943848,"TORAJI",2013,192,"2013-TORAJI"
46,"2014184N08147",-1.14239529753063,"NEOGURI",2014,236,"2014-NEOGURI"
46,"2014209N12152",-0.826571012842026,"HALONG",2014,241,"2014-HALONG"
46,"2014275N06166",0.859282476777761,"VONGFONG",2014,249,"2014-VONGFONG"
46,"2015188N08194",-0.938184953809614,"HALOLA",2015,289,"2015-HALOLA"
46,"2015226N12151",-1.56615739988427,"GONI",2015,295,"2015-GONI"
46,"2016244N21123",-0.836425853338332,"NAMTHEUN",2016,348,"2016-NAMTHEUN"
46,"2016256N12146",-2.05583758854612,"MALAKAS",2016,351,"2016-MALAKAS"
46,"2017200N26162",-0.882510375502472,"NORU",2017,397,"2017-NORU"
46,"2017252N14147",-1.35906095681451,"TALIM",2017,402,"2017-TALIM"
46,"2018204N15137",-1.10658986892122,"JONGDARI",2018,447,"2018-JONGDARI"
46,"2018226N23128",-0.800648864602764,"RUMBIA",2018,450,"2018-RUMBIA"
46,"2018263N12146",-1.71615426289207,"TRAMI",2018,457,"2018-TRAMI"
46,"2019216N16147",-0.967707474033222,"KROSA",2019,502,"2019-KROSA"
47,"2010243N12146",4.90416245734516,"MALOU",2010,35,"2010-MALOU"
47,"2011126N11129",1.58345176399021,"AERE",2011,71,"2011-AERE"
47,"2011140N08142",2.96900829904306,"SONGDA",2011,74,"2011-SONGDA"
47,"2011208N09145",5.34241759751145,"MUIFA",2011,83,"2011-MUIFA"
47,"2012162N06150",1.54454794376976,"GUCHOL",2012,129,"2012-GUCHOL"
47,"2012232N13141",2.94389301118703,"BOLAVEN",2012,139,"2012-BOLAVEN"
47,"2012263N15141",7.11313288925716,"JELAWAT",2012,142,"2012-JELAWAT"
47,"2013274N18152",1.84426380598123,"DANAS",2013,197,"2013-DANAS"
47,"2013289N14149",1.06102185436908,"FRANCISCO",2013,199,"2013-FRANCISCO"
47,"2014184N08147",1.5319711094436,"NEOGURI",2014,236,"2014-NEOGURI"
47,"2014209N16134",4.73688520142959,"NAKRI",2014,239,"2014-NAKRI"
47,"2014275N06166",2.82840147464609,"VONGFONG",2014,249,"2014-VONGFONG"
47,"2015188N08194",1.52174340984088,"HALOLA",2015,289,"2015-HALOLA"
47,"2015226N12151",1.73382661428878,"GONI",2015,295,"2015-GONI"
47,"2016269N15165",2.20655603925053,"CHABA",2016,353,"2016-CHABA"
47,"2017252N14147",1.49791220375255,"TALIM",2017,402,"2017-TALIM"
47,"2017292N13151",2.46909569167046,"SAOLA",2017,409,"2017-SAOLA"
47,"2018165N22117",1.94795212475003,"GAEMI",2018,442,"2018-GAEMI"
47,"2018179N19134",1.63877513896537,"PRAPIROON",2018,444,"2018-PRAPIROON"
47,"2018184N10147",2.60990149392526,"MARIA",2018,445,"2018-MARIA"
47,"2018204N15137",1.30114575579048,"JONGDARI",2018,447,"2018-JONGDARI"
47,"2018263N12146",8.47567777658427,"TRAMI",2018,457,"2018-TRAMI"
47,"2019260N20129",2.81163933468528,"TAPAH",2019,508,"2019-TAPAH"
