"region_id","typhoon_no","typhoon_name","year","ty_label","mean","lower","upper"
28,"2014209N12152","HALONG",2014,"2014-HALONG",0.957924422436456,-2.55110771144864,4.85253670834217
28,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",0.938165745912569,-2.50093544203325,4.7524195247831
28,"2016256N12146","MALAKAS",2016,"2016-MALAKAS",0.534954266275395,-1.43638150294767,2.70980128117773
28,"2017200N26162","NORU",2017,"2017-NORU",0.538873562409212,-1.44696278008725,2.72965400091014
28,"2017252N14147","TALIM",2017,"2017-TALIM",0.981634384889144,-2.60718568359853,4.97272522797511
28,"2017288N09138","LAN",2017,"2017-LAN",0.511925829068277,-1.37581459754386,2.59314253334038
28,"2018204N15137","JONGDARI",2018,"2018-JONGDARI",0.969872571386294,-2.57978158702231,4.91309735214886
28,"2018226N23128","RUMBIA",2018,"2018-RUMBIA",0.887164489330347,-2.36118152079183,4.49410601711697
28,"2018239N11161","JEBI",2018,"2018-JEBI",-0.110617377654414,-11.2197665212627,11.0037727670328
28,"2018263N12146","TRAMI",2018,"2018-TRAMI",0.712822946340284,-1.906772241489,3.61084879503095
28,"2019216N16147","KROSA",2019,"2019-KROSA",0.706924803648826,-1.88933844501236,3.58098629914941
29,"2011192N18158","MA-ON",2011,"2011-MA-ON",0.518475057331512,0.0121664195327783,1.0899162063041
29,"2011236N15143","TALAS",2011,"2011-TALAS",0.423691409134547,0.00995122561237275,0.890145134369303
29,"2011253N20145","ROKE",2011,"2011-ROKE",0.951315259404792,0.0921454322756216,1.72377052701008
29,"2012162N06150","GUCHOL",2012,"2012-GUCHOL",0.638947631026031,0.0149623717329234,1.34497361761925
29,"2012263N15141","JELAWAT",2012,"2012-JELAWAT",0.633424332860299,0.0148408051281072,1.33289435549796
29,"2013255N20148","MAN-YI",2013,"2013-MAN-YI",0.609342571484853,0.0142697498946255,1.28261783271482
29,"2014209N12152","HALONG",2014,"2014-HALONG",0.474858374212942,0.0111407876873408,0.998350922466021
29,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",1.2635388164784,-0.188895130113207,2.86364628256215
29,"2016256N12146","MALAKAS",2016,"2016-MALAKAS",0.492473517717472,0.0115448924538802,1.03591829606339
29,"2017200N26162","NORU",2017,"2017-NORU",0.629781868728739,0.0147342728830866,1.32646500419707
29,"2017252N14147","TALIM",2017,"2017-TALIM",0.938051971036084,0.0218301290470214,1.98257684077849
29,"2017288N09138","LAN",2017,"2017-LAN",0.53410346565455,0.0125153269304441,1.12380593509527
29,"2018204N15137","JONGDARI",2018,"2018-JONGDARI",0.715645989015778,0.0167224502045914,1.50852321129116
