"region_id","prefecture_en","lag","soc","mean","lower","upper"
24,"Mie","lag 0 week","potential flood risk",-0.00591395894458113,-0.0281025687732472,0.0162795756121215
24,"Mie","lag 1 week","potential flood risk",0.029783062417299,0.00775225132534363,0.0518187266993708
24,"Mie","lag 2 weeks","potential flood risk",0.00636963262627965,-0.0155317293092483,0.0282757920034626
24,"Mie","lag 0 week","potential landslide risk",-0.015110746852387,-0.0392666737571212,0.00905101743255976
24,"Mie","lag 1 week","potential landslide risk",0.0391791853500356,0.0152019584935825,0.0631621604066934
24,"Mie","lag 2 weeks","potential landslide risk",0.00403086821767484,-0.0198031464289317,0.0278705645919919
24,"Mie","lag 0 week","distance to
medical facilities",-0.0158767244042957,-0.0389468476963417,0.00719872326730986
24,"Mie","lag 1 week","distance to
medical facilities",0.034275348042101,0.011364836103156,0.0571911083001364
24,"Mie","lag 2 weeks","distance to
medical facilities",0.0100019972292476,-0.0127679667862313,0.0327771466194005
25,"Shiga","lag 0 week","prefecture income",-0.00119735494820139,-0.0310960848282971,0.0287103170530267
25,"Shiga","lag 1 week","prefecture income",0.0272560782227815,-0.00244880304436368,0.0569697835057337
25,"Shiga","lag 2 weeks","prefecture income",-0.0041749061086116,-0.0336886333544228,0.0253475346736254
25,"Shiga","lag 0 week","potential flood risk",-0.00692892113249854,-0.0309362394357526,0.0170841624676399
25,"Shiga","lag 1 week","potential flood risk",0.0235503672609383,-0.000286471118271514,0.0473928876050467
25,"Shiga","lag 2 weeks","potential flood risk",0.00260161485399202,-0.021091350389757,0.0263001948479946
25,"Shiga","lag 0 week","potential landslide risk",-0.0197121363385011,-0.0461303331156238,0.00671304287085395
25,"Shiga","lag 1 week","potential landslide risk",0.0439450751300363,0.0177308580757485,0.0701661628178529
25,"Shiga","lag 2 weeks","potential landslide risk",0.00289161325268683,-0.0231649461008177,0.0289549636221631
25,"Shiga","lag 0 week","distance to
medical facilities",0.000309336308257357,-0.0222324819628916,0.0228562370450769
25,"Shiga","lag 1 week","distance to
medical facilities",0.0267857450050979,0.0044058395892943,0.0491706588019225
25,"Shiga","lag 2 weeks","distance to
medical facilities",0.00398245252752893,-0.0182637779012951,0.0262336328080481
26,"Kyoto","lag 0 week","prefecture income",-0.00638542019304467,-0.0286562350935826,0.0158903560211865
26,"Kyoto","lag 1 week","prefecture income",0.0299050508917542,0.00779223058169354,0.0520227605890433
26,"Kyoto","lag 2 weeks","prefecture income",0.00730736560297096,-0.0146755287962486,0.0292950931879421
26,"Kyoto","lag 0 week","potential flood risk",-0.00830925317527598,-0.0394556754680364,0.0228468739428056
26,"Kyoto","lag 1 week","potential flood risk",0.0150745250664608,-0.0158531462296052,0.0460117630876944
26,"Kyoto","lag 2 weeks","potential flood risk",-0.00252266148300651,-0.0332511314023121,0.0282152539656799
26,"Kyoto","lag 0 week","potential landslide risk",-0.00974219146465671,-0.0322811093310671,0.0128018080703507
26,"Kyoto","lag 1 week","potential landslide risk",0.0336192675558289,0.0112410244856198,0.0560025179208168
26,"Kyoto","lag 2 weeks","potential landslide risk",0.00536001541375786,-0.0168857473067496,0.027610727709626
26,"Kyoto","lag 0 week","distance to
medical facilities",0.0312445780206172,-0.0011925398373025,0.0636922176701527
